State,Year,Per_capita_consumption
Hawaii,2004,2.5
Hawaii,2003,2.38
Hawaii,2002,2.28
Hawaii,2001,2.28
Hawaii,2000,2.32
Hawaii,1999,2.26
Hawaii,1998,2.22
Hawaii,1997,2.33
Hawaii,1996,2.34
Hawaii,1995,2.32
Hawaii,1994,2.46
Hawaii,1993,2.51
Hawaii,1992,2.63
Hawaii,1991,2.67
Hawaii,1990,2.84
Hawaii,1989,2.79
Hawaii,1988,2.89
Hawaii,1987,2.76
Hawaii,1986,2.91
Hawaii,1985,2.91
Hawaii,1984,2.99
Hawaii,1983,3.45
Hawaii,1982,3.41
Hawaii,1981,3.34
Hawaii,1980,3.3
Hawaii,1979,3.14
Hawaii,1978,3.02
Hawaii,1977,3.11
Idaho,2016,2.92
Idaho,2015,2.87
Idaho,2014,2.82
Idaho,2013,2.81
Idaho,2012,2.77
Idaho,2011,2.65
Idaho,2010,2.68
Idaho,2009,2.67
Idaho,2008,2.64
Idaho,2007,2.58
Idaho,2006,2.53
Idaho,2005,2.45
Idaho,2004,2.43
Idaho,2003,2.35
Idaho,2002,2.33
Idaho,2001,2.3
Idaho,2000,2.3
Idaho,1999,2.29
Idaho,1998,1.99
Idaho,1997,1.95
Idaho,1996,1.96
Idaho,1995,2.01
Idaho,1994,2.12
Idaho,1993,2.11
Idaho,1992,2.2
Idaho,1991,2.19
Idaho,1990,2.27
Idaho,1989,2.16
Idaho,1988,2.24
Idaho,1987,2.31
Idaho,1986,2.37
Idaho,1985,2.43
Idaho,1984,2.45
Idaho,1983,2.52
Idaho,1982,2.57
Idaho,1981,2.69
Idaho,1980,2.59
Idaho,1979,2.6
Idaho,1978,2.5
Idaho,1977,2.47
Illinois,2016,2.32
Illinois,2015,2.36
Illinois,2014,2.32
Illinois,2013,2.33
Illinois,2012,2.36
Illinois,2011,2.35
Illinois,2010,2.35
Illinois,2009,2.36
Illinois,2008,2.34
Illinois,2007,2.38
Illinois,2006,2.35
Illinois,2005,2.29
Illinois,2004,2.22
Illinois,2003,2.36
Illinois,2002,2.26
Illinois,2001,2.28
Illinois,2000,2.24
Illinois,1999,2.27
Illinois,1998,2.25
Illinois,1997,2.26
Illinois,1996,2.3
Illinois,1995,2.29
Illinois,1994,2.35
Illinois,1993,2.38
Illinois,1992,2.43
Illinois,1991,2.48
Illinois,1990,2.62
Illinois,1989,2.63
Illinois,1988,2.7
Illinois,1987,2.71
Illinois,1986,2.72
Illinois,1985,2.76
Illinois,1984,2.8
Illinois,1983,2.82
Illinois,1982,2.84
Illinois,1981,2.91
Illinois,1980,2.99
Illinois,1979,2.89
Illinois,1978,2.83
Illinois,1977,2.82
Indiana,2016,2.17
Indiana,2015,2.14
Indiana,2014,2.05
Indiana,2013,2.09
Indiana,2012,2.08
Indiana,2011,2.02
Indiana,2010,2.03
Indiana,2009,2.05
Indiana,2008,2.08
Indiana,2007,2.09
Indiana,2006,2
Indiana,2005,2.01
Indiana,2004,2.01
Indiana,2003,1.96
Indiana,2002,1.93
Indiana,2001,1.96
Indiana,2000,1.98
Indiana,1999,1.94
Indiana,1998,1.91
Indiana,1997,1.85
Indiana,1996,1.86
Indiana,1995,1.92
Indiana,1994,1.94
Indiana,1993,1.98
Indiana,1992,1.95
Indiana,1991,2
Indiana,1990,2.09
Indiana,1989,2.07
Indiana,1988,2.13
Indiana,1987,2.16
Indiana,1986,2.17
Indiana,1985,2.2
Indiana,1984,2.21
Indiana,1983,2.2
Indiana,1982,2.24
Indiana,1981,2.24
Indiana,1980,2.21
Indiana,1979,2.15
Indiana,1978,2.12
Indiana,1977,2.03
Iowa,2016,2.4
Iowa,2015,2.36
Iowa,2014,2.37
Iowa,2013,2.34
Iowa,2012,2.4
Iowa,2011,2.37
Iowa,2010,2.3
Iowa,2009,2.31
Iowa,2008,2.3
Iowa,2007,2.25
Iowa,2006,2.2
Iowa,2005,2.16
Iowa,2004,2.12
Iowa,2003,2.07
Iowa,2002,2.04
Iowa,2001,1.99
Iowa,2000,1.98
Iowa,1999,1.95
Iowa,1998,1.9
Iowa,1997,1.85
Iowa,1996,1.85
Iowa,1995,1.8
Iowa,1994,1.84
Iowa,1993,1.87
Iowa,1992,1.9
Iowa,1991,2.01
Iowa,1990,2.06
Iowa,1989,2.01
Iowa,1988,2.06
Iowa,1987,2.14
Iowa,1986,2.09
Iowa,1985,2.06
Iowa,1984,2.13
Iowa,1983,2.18
Iowa,1982,2.19
Iowa,1981,2.26
Iowa,1980,2.25
Iowa,1979,2.22
Iowa,1978,2.23
Iowa,1977,2.17
Kansas,2016,1.92
Kansas,2015,1.91
Kansas,2014,1.93
Kansas,2013,1.88
Kansas,2012,1.95
Kansas,2011,1.9
Kansas,2010,1.95
Kansas,2009,1.99
Kansas,2008,2.01
Kansas,2007,1.96
Kansas,2006,1.94
Kansas,2005,1.89
Kansas,2004,1.86
Kansas,2003,1.89
Kansas,2002,1.88
Kansas,2001,1.8
Kansas,2000,1.82
Kansas,1999,1.81
Kansas,1998,1.76
Kansas,1997,1.67
Kansas,1996,1.65
Kansas,1995,1.66
Kansas,1994,1.73
Kansas,1993,1.75
Kansas,1992,1.78
Kansas,1991,1.85
Kansas,1990,1.79
Kansas,1989,1.81
Kansas,1988,1.92
Kansas,1987,1.88
Kansas,1986,1.91
Kansas,1985,1.97
Kansas,1984,1.96
Kansas,1983,1.97
Kansas,1982,2.03
Kansas,1981,2.05
Kansas,1980,1.95
Kansas,1979,2.04
Kansas,1978,1.91
Kansas,1977,1.9
Kentucky,2016,1.98
Kentucky,2015,1.97
Kentucky,2014,1.88
Kentucky,2013,1.85
Kentucky,2012,1.87
Kentucky,2011,1.79
Kentucky,2010,1.83
Kentucky,2009,1.85
Kentucky,2008,1.85
Kentucky,2007,1.85
Kentucky,2006,1.82
Kentucky,2005,1.8
Kentucky,2004,1.81
Kentucky,2003,1.75
Kentucky,2002,1.77
Kentucky,2001,1.63
Kentucky,2000,1.74
Kentucky,1999,1.74
Kentucky,1998,1.74
Kentucky,1997,1.72
Kentucky,1996,1.76
Kentucky,1995,1.71
Kentucky,1994,1.73
Kentucky,1993,1.73
Kentucky,1992,1.71
Kentucky,1991,1.78
Kentucky,1990,1.83
Kentucky,1989,1.79
Kentucky,1988,1.82
Kentucky,1987,1.78
Kentucky,1986,1.86
Kentucky,1985,1.88
Kentucky,1984,1.87
Kentucky,1983,1.95
Kentucky,1982,1.99
Kentucky,1981,1.99
Kentucky,1980,1.91
Kentucky,1979,1.91
Kentucky,1978,1.88
Kentucky,1977,1.98
Louisiana,2016,2.59
Louisiana,2015,2.59
Louisiana,2014,2.58
Louisiana,2013,2.58
Louisiana,2012,2.59
Louisiana,2011,2.57
Louisiana,2010,2.55
Louisiana,2009,2.63
Louisiana,2008,2.64
Louisiana,2007,2.66
Louisiana,2006,2.63
Louisiana,2005,2.41
Louisiana,2004,2.36
Louisiana,2003,2.38
Louisiana,2002,2.26
Louisiana,2001,2.41
Louisiana,2000,2.44
Louisiana,1999,2.45
Louisiana,1998,2.4
Louisiana,1997,2.44
Louisiana,1996,2.46
Louisiana,1995,2.46
Louisiana,1994,2.39
Louisiana,1993,2.47
Louisiana,1992,2.51
Louisiana,1991,2.46
Louisiana,1990,2.54
Louisiana,1989,2.45
Louisiana,1988,2.44
Louisiana,1987,2.41
Louisiana,1986,2.47
Louisiana,1985,2.52
Louisiana,1984,2.66
Louisiana,1983,2.77
Louisiana,1982,2.78
Louisiana,1981,2.79
Louisiana,1980,2.7
Louisiana,1979,2.61
Louisiana,1978,2.6
Louisiana,1977,2.51
Maine,2016,2.81
Maine,2015,2.78
Maine,2014,2.71
Maine,2013,2.69
Maine,2012,2.65
Maine,2011,2.6
Maine,2010,2.56
Maine,2009,2.55
Maine,2008,2.56
Maine,2007,2.57
Maine,2006,2.54
Maine,2005,2.52
Maine,2004,2.44
Maine,2003,2.39
Maine,2002,2.33
Maine,2001,2.28
Maine,2000,2.23
Maine,1999,2.21
Maine,1998,2.16
Maine,1997,2.16
Maine,1996,2.22
Maine,1995,2.12
Maine,1994,2.18
Maine,1993,2.22
Maine,1992,2.23
Maine,1991,2.25
Maine,1990,2.34
Maine,1989,2.46
Maine,1988,2.55
Maine,1987,2.56
Maine,1986,2.57
Maine,1985,2.56
Maine,1984,2.57
Maine,1983,2.64
Maine,1982,2.62
Maine,1981,2.57
Maine,1980,2.66
Maine,1979,2.59
Maine,1978,2.57
Maine,1977,2.6
Maryland,2016,2.15
Maryland,2015,2.14
Maryland,2014,2.15
Maryland,2013,2.17
Maryland,2012,2.2
Maryland,2011,2.19
Maryland,2010,2.21
Maryland,2009,2.19
Maryland,2008,2.19
Maryland,2007,2.2
Maryland,2006,2.18
Maryland,2005,2.16
Maryland,2004,2.15
Maryland,2003,2.12
Maryland,2002,2.12
Maryland,2001,2.11
Maryland,2000,2.09
Maryland,1999,2.08
Maryland,1998,2.08
Maryland,1997,2.11
Maryland,1996,2.08
Maryland,1995,2.09
Maryland,1994,2.15
Maryland,1993,2.19
Maryland,1992,2.26
Maryland,1991,2.33
Maryland,1990,2.51
Maryland,1989,2.52
Maryland,1988,2.6
Maryland,1987,2.71
Maryland,1986,2.73
Maryland,1985,2.8
Maryland,1984,2.84
Maryland,1983,2.89
Maryland,1982,2.76
Maryland,1981,3.06
Maryland,1980,3.08
Maryland,1979,3.13
Maryland,1978,3.09
Maryland,1977,3.05
Massachusetts,2016,2.57
Massachusetts,2015,2.52
Massachusetts,2014,2.55
Massachusetts,2013,2.56
Massachusetts,2012,2.57
Massachusetts,2011,2.54
Massachusetts,2010,2.5
Massachusetts,2009,2.49
Massachusetts,2008,2.54
Massachusetts,2007,2.59
Massachusetts,2006,2.56
Massachusetts,2005,2.51
Massachusetts,2004,2.52
Massachusetts,2003,2.49
Massachusetts,2002,2.47
Massachusetts,2001,2.44
Massachusetts,2000,2.55
Massachusetts,1999,2.39
Massachusetts,1998,2.39
Massachusetts,1997,2.39
Massachusetts,1996,2.35
Massachusetts,1995,2.35
Massachusetts,1994,2.38
Massachusetts,1993,2.38
Massachusetts,1992,2.38
Massachusetts,1991,2.49
Massachusetts,1990,2.63
Massachusetts,1989,2.7
Massachusetts,1988,2.81
Massachusetts,1987,2.88
Massachusetts,1986,2.92
Massachusetts,1985,2.97
Massachusetts,1984,3.02
Massachusetts,1983,3.05
Massachusetts,1982,3.07
Massachusetts,1981,3.17
Massachusetts,1980,3.18
Massachusetts,1979,3.07
Massachusetts,1978,3.05
Massachusetts,1977,2.97
Michigan,2016,2.34
Michigan,2015,2.25
Michigan,2014,2.32
Michigan,2013,2.24
Michigan,2012,2.27
Michigan,2011,2.25
Michigan,2010,2.23
Michigan,2009,2.23
Michigan,2008,2.22
Michigan,2007,2.19
Michigan,2006,2.18
Michigan,2005,2.16
Michigan,2004,2.15
Michigan,2003,2.17
Michigan,2002,2.13
Michigan,2001,2.09
Michigan,2000,2.13
Michigan,1999,2.11
Michigan,1998,2.1
Michigan,1997,2.07
Michigan,1996,2.09
Michigan,1995,2.06
Michigan,1994,2.1
Michigan,1993,2.18
Michigan,1992,2.21
Michigan,1991,2.26
Michigan,1990,2.42
Michigan,1989,2.39
Michigan,1988,2.48
Michigan,1987,2.51
Michigan,1986,2.57
Michigan,1985,2.59
Michigan,1984,2.61
Michigan,1983,2.62
Michigan,1982,2.73
Michigan,1981,2.63
Michigan,1980,2.65
Michigan,1979,2.65
Michigan,1978,2.74
Michigan,1977,2.71
Minnesota,2016,2.77
Minnesota,2015,2.73
Minnesota,2014,2.81
Minnesota,2013,2.72
Minnesota,2012,2.71
Minnesota,2011,2.47
Minnesota,2010,2.44
Minnesota,2009,2.59
Minnesota,2008,2.6
Minnesota,2007,2.6
Minnesota,2006,2.4
Minnesota,2005,2.48
Minnesota,2004,2.5
Minnesota,2003,2.43
Minnesota,2002,2.41
Minnesota,2001,2.39
Minnesota,2000,2.37
Minnesota,1999,2.36
Minnesota,1998,2.27
Minnesota,1997,2.31
Minnesota,1996,2.31
Minnesota,1995,2.38
Minnesota,1994,2.35
Minnesota,1993,2.33
Minnesota,1992,2.35
Minnesota,1991,2.35
Minnesota,1990,2.55
Minnesota,1989,2.46
Minnesota,1988,2.51
Minnesota,1987,2.58
Minnesota,1986,2.57
Minnesota,1985,2.68
Minnesota,1984,2.69
Minnesota,1983,2.74
Minnesota,1982,2.75
Minnesota,1981,2.84
Minnesota,1980,2.85
Minnesota,1979,2.77
Minnesota,1978,2.71
Minnesota,1977,2.67
Mississippi,2016,2.23
Mississippi,2015,2.24
Mississippi,2014,2.23
Mississippi,2013,2.24
Mississippi,2012,2.24
Mississippi,2011,2.22
Mississippi,2010,2.22
Mississippi,2009,2.26
Mississippi,2008,2.28
Mississippi,2007,2.26
Mississippi,2006,2.23
Mississippi,2005,2.18
Mississippi,2004,2.14
Mississippi,2003,2.13
Mississippi,2002,2.13
Mississippi,2001,2.11
Mississippi,2000,2.14
Mississippi,1999,2.14
Mississippi,1998,2.08
Mississippi,1997,2.09
Mississippi,1996,2.14
Mississippi,1995,2.09
Mississippi,1994,2
Mississippi,1993,2.11
Mississippi,1992,2.08
Mississippi,1991,2.05
Mississippi,1990,2.08
Mississippi,1989,2.04
Mississippi,1988,2.06
Mississippi,1987,2.04
Mississippi,1986,2.07
Mississippi,1985,2.07
Mississippi,1984,2.08
Mississippi,1983,2.1
Mississippi,1982,2.1
Mississippi,1981,2.13
Mississippi,1980,2.09
Mississippi,1979,2
Mississippi,1978,2.09
Mississippi,1977,1.98
Missouri,2016,2.49
Missouri,2015,2.53
Missouri,2014,2.4
Missouri,2013,2.44
Missouri,2012,2.42
Missouri,2011,2.45
Missouri,2010,2.41
Missouri,2009,2.43
Missouri,2008,2.42
Missouri,2007,2.4
Missouri,2006,2.37
Missouri,2005,2.3
Missouri,2004,2.32
Missouri,2003,2.29
Missouri,2002,2.27
Missouri,2001,2.25
Missouri,2000,2.25
Missouri,1999,2.23
Missouri,1998,2.18
Missouri,1997,2.15
Missouri,1996,2.1
Missouri,1995,2.14
Missouri,1994,2.21
Missouri,1993,2.2
Missouri,1992,2.24
Missouri,1991,2.2
Missouri,1990,2.3
Missouri,1989,2.28
Missouri,1988,2.31
Missouri,1987,2.39
Missouri,1986,2.39
Missouri,1985,2.37
Missouri,1984,2.29
Missouri,1983,2.38
Missouri,1982,2.39
Missouri,1981,2.46
Missouri,1980,2.44
Missouri,1979,2.42
Missouri,1978,2.39
Missouri,1977,2.24
Montana,2016,3.11
Montana,2015,3.09
Montana,2014,3.08
Montana,2013,3.07
Montana,2012,3.07
Montana,2011,2.97
Montana,2010,2.98
Montana,2009,2.96
Montana,2008,2.97
Montana,2007,2.94
